family,window,response,share,se,cc,n_vars,per_var,learner
relative_mortality,12 months,ETmax,11.6216397194849,0.319651056007906,Standing mortality / deadwood,15,0.774775981298994,Random Forest (Optuna)
relative_mortality,12 months,GPPsat,16.5007364956959,0.513659518859958,Standing mortality / deadwood,15,1.10004909971306,Random Forest (Optuna)
relative_mortality,12 months,NEPmax,10.2449293846108,0.34622759548846,Standing mortality / deadwood,15,0.682995292307389,Random Forest (Optuna)
relative_mortality,12 months,WUE,9.65561620689219,0.240974736926254,Standing mortality / deadwood,15,0.643707747126146,Random Forest (Optuna)
relative_mortality,24 months,ETmax,17.4401786436709,0.431540069474392,Standing mortality / deadwood,15,1.16267857624473,Random Forest (Optuna)
relative_mortality,24 months,GPPsat,17.9441607532494,0.497019844857377,Standing mortality / deadwood,15,1.19627738354996,Random Forest (Optuna)
relative_mortality,24 months,NEPmax,12.0451276694276,0.441351180261086,Standing mortality / deadwood,15,0.803008511295176,Random Forest (Optuna)
relative_mortality,24 months,WUE,10.6136557705456,0.211371785861921,Standing mortality / deadwood,15,0.707577051369709,Random Forest (Optuna)
relative_tree_loss_pct,12 months,ETmax,10.1467900443641,0.33049253485419,Tree cover change,10,1.01467900443641,Random Forest (Optuna)
relative_tree_loss_pct,12 months,GPPsat,8.83330966334109,0.353318042625499,Tree cover change,10,0.883330966334109,Random Forest (Optuna)
relative_tree_loss_pct,12 months,NEPmax,11.8137171277817,0.444406894485061,Tree cover change,10,1.18137171277817,Random Forest (Optuna)
relative_tree_loss_pct,12 months,WUE,3.45738103353126,0.131454150430405,Tree cover change,10,0.345738103353126,Random Forest (Optuna)
relative_tree_loss_pct,24 months,ETmax,9.21064718956535,0.248500049887071,Tree cover change,10,0.921064718956535,Random Forest (Optuna)
relative_tree_loss_pct,24 months,GPPsat,8.1481091733878,0.369780200803363,Tree cover change,10,0.81481091733878,Random Forest (Optuna)
relative_tree_loss_pct,24 months,NEPmax,11.0980942596269,0.455485155906248,Tree cover change,10,1.10980942596269,Random Forest (Optuna)
relative_tree_loss_pct,24 months,WUE,2.55238027222056,0.105220425465106,Tree cover change,10,0.255238027222056,Random Forest (Optuna)
relative_tree_loss_pct_thresh,12 months,ETmax,5.51169309167407,0.190593145546104,Tree cover change,10,0.551169309167407,Random Forest (Optuna)
relative_tree_loss_pct_thresh,12 months,GPPsat,3.03571990484096,0.20198446150935,Tree cover change,10,0.303571990484096,Random Forest (Optuna)
relative_tree_loss_pct_thresh,12 months,NEPmax,3.07469844587187,0.24013880456356,Tree cover change,10,0.307469844587187,Random Forest (Optuna)
relative_tree_loss_pct_thresh,12 months,WUE,2.27332734430346,0.11780969775422,Tree cover change,10,0.227332734430346,Random Forest (Optuna)
relative_tree_loss_pct_thresh,24 months,ETmax,4.88391834891167,0.147537525512824,Tree cover change,10,0.488391834891167,Random Forest (Optuna)
relative_tree_loss_pct_thresh,24 months,GPPsat,3.06809565869952,0.184695214311762,Tree cover change,10,0.306809565869952,Random Forest (Optuna)
relative_tree_loss_pct_thresh,24 months,NEPmax,1.90897858368785,0.167647053437163,Tree cover change,10,0.190897858368785,Random Forest (Optuna)
relative_tree_loss_pct_thresh,24 months,WUE,2.23647280573396,0.10629075126081,Tree cover change,10,0.223647280573396,Random Forest (Optuna)
