model,response,R2_base,RMSE_base,R2_e1,RMSE_e1,R2_e2,RMSE_e2,dataset,mem
M3_12m,ETmax,0.416119138878432,0.0501225268879482,0.394762643468037,0.0510309555388051,0.416119138878432,0.0501225268879482,High tree cover (93),none
M3_12m,GPPsat,0.228433359259142,7.65006919545234,0.178219952373542,7.89507824599811,0.228433359259142,7.65006919545234,High tree cover (93),none
M3_12m,NEPmax,0.257393082469645,7.50015152629098,0.162847342080991,7.96329624906368,0.257393082469645,7.50015152629098,High tree cover (93),none
M3_12m,WUE,0.152450809981634,0.993414482471995,0.142820578072452,0.999042350250989,0.152450809981634,0.993414482471995,High tree cover (93),none
M3_12m,uWUE,0.0577778595218602,0.967370538034162,0.00888198767726744,0.992153544873984,0.0577778595218602,0.967370538034162,High tree cover (93),none
M3_24m,ETmax,0.402467775813893,0.0507050836090545,0.396959334762479,0.0509382636760034,0.402467775813893,0.0507050836090545,High tree cover (93),none
M3_24m,GPPsat,0.23275144118704,7.62863230857304,0.173888845218632,7.91585600384265,0.23275144118704,7.62863230857304,High tree cover (93),none
M3_24m,NEPmax,0.260823339155308,7.48280909166085,0.173447569999544,7.91271904947261,0.260823339155308,7.48280909166085,High tree cover (93),none
M3_24m,WUE,0.169037867926956,0.98364558484453,0.147680240883832,0.996206357218648,0.169037867926956,0.98364558484453,High tree cover (93),none
M3_24m,uWUE,0.0707210636824613,0.960703229334415,0.0133381183748177,0.989920638964746,0.0707210636824613,0.960703229334415,High tree cover (93),none
M4_12m,ETmax,0.40281076099786,0.0506905290895858,0.397382428653357,0.0509203913740923,0.40281076099786,0.0506905290895858,High tree cover (93),none
M4_12m,GPPsat,0.347043089678426,7.03754043970299,0.264131900613831,7.47099817550537,0.347043089678426,7.03754043970299,High tree cover (93),none
M4_12m,NEPmax,0.415764676726202,6.65249333233667,0.317335253409271,7.1910826514504,0.415764676726202,6.65249333233667,High tree cover (93),none
M4_12m,WUE,0.255143804319807,0.931288516390524,0.241377190014456,0.939855265445713,0.255143804319807,0.931288516390524,High tree cover (93),none
M4_12m,uWUE,0.141687568111482,0.923291644611985,0.108278539908175,0.941089251376137,0.141687568111482,0.923291644611985,High tree cover (93),none
M4_24m,ETmax,0.400441802828018,0.0507909703587464,0.396013590497017,0.0509781910808865,0.400441802828018,0.0507909703587464,High tree cover (93),none
M4_24m,GPPsat,0.341764999530227,7.06592670105573,0.258278289247762,7.50065409799889,0.341764999530227,7.06592670105573,High tree cover (93),none
M4_24m,NEPmax,0.408214253537315,6.69534241460532,0.32485861378736,7.15134792808681,0.408214253537315,6.69534241460532,High tree cover (93),none
M4_24m,WUE,0.240102225073085,0.940644708797937,0.231862536816493,0.945730736333535,0.240102225073085,0.940644708797937,High tree cover (93),none
M4_24m,uWUE,0.159625000060776,0.913593005727402,0.105237193641971,0.942692746465415,0.159625000060776,0.913593005727402,High tree cover (93),none
M5_anom_12m,ETmax,0.36048758886598,0.0524560187900281,0.367498847883883,0.0521676769738634,0.36048758886598,0.0524560187900281,High tree cover (93),anom
M5_anom_12m,GPPsat,0.229928094529943,7.64265546660928,0.2130810293383,7.72580335474296,0.229928094529943,7.64265546660928,High tree cover (93),anom
M5_anom_12m,NEPmax,0.237869339570231,7.59810444487641,0.224861577873232,7.66267091695271,0.237869339570231,7.59810444487641,High tree cover (93),anom
M5_anom_12m,WUE,0.182903942714379,0.975404125073218,0.219325368792868,0.953417378615519,0.182903942714379,0.975404125073218,High tree cover (93),anom
M5_anom_12m,uWUE,0.145143889142633,0.921430777093194,0.136210846101932,0.926232631370626,0.145143889142633,0.921430777093194,High tree cover (93),anom
M5_anom_24m,ETmax,0.35978582896171,0.052484791834122,0.372041838281252,0.0519799900795953,0.35978582896171,0.052484791834122,High tree cover (93),anom
M5_anom_24m,GPPsat,0.215349918602284,7.71465757840849,0.203694244305829,7.77174548649116,0.215349918602284,7.71465757840849,High tree cover (93),anom
M5_anom_24m,NEPmax,0.236359624346449,7.60562631705282,0.219105961622101,7.69106702311265,0.236359624346449,7.60562631705282,High tree cover (93),anom
M5_anom_24m,WUE,0.195667010957496,0.967756219566891,0.217112748052626,0.954767530363605,0.195667010957496,0.967756219566891,High tree cover (93),anom
M5_anom_24m,uWUE,0.136571335501743,0.926039336578802,0.141049907965301,0.923634548288721,0.136571335501743,0.926039336578802,High tree cover (93),anom
M5_raw_12m,ETmax,0.507964354563828,0.0460117891232958,0.673540403198815,0.037478789675375,0.680410337651438,0.0370823457610183,High tree cover (93),raw
M5_raw_12m,GPPsat,0.471602069719426,6.33080878215436,0.682538226210543,4.90709382039215,0.696850945520807,4.79520028304792,High tree cover (93),raw
M5_raw_12m,NEPmax,0.49812753478113,6.16576867402717,0.730666857170121,4.51684764392478,0.731125443920247,4.5130006443922,High tree cover (93),raw
M5_raw_12m,WUE,0.423872994562938,0.81904383727242,0.647532097363548,0.640630804322369,0.66199317919914,0.627351242649521,High tree cover (93),raw
M5_raw_12m,uWUE,0.40586388924857,0.768173247724965,0.642587017536195,0.595801189165906,0.642852379896117,0.595579970891373,High tree cover (93),raw
M5_raw_24m,ETmax,0.464025047967408,0.0480223141648679,0.676290017376312,0.037320622905182,0.67764914278687,0.0372421935032296,High tree cover (93),raw
